Date,Open,High,Low,Close
04/14/2023,7843.38 ,7904.04 ,7843.38 ,7871.91 
04/13/2023,7824.84 ,7851.57 ,7814.11 ,7843.38 
04/12/2023,7785.72 ,7859.67 ,7783.40 ,7824.84 
04/11/2023,7741.56 ,7806.39 ,7741.56 ,7785.72 
04/06/2023,7662.94 ,7742.11 ,7654.54 ,7741.56 
04/05/2023,7634.52 ,7678.45 ,7634.26 ,7662.94 
04/04/2023,7673.00 ,7726.85 ,7634.52 ,7634.52 
04/03/2023,7631.74 ,7698.15 ,7631.74 ,7673.00 
03/31/2023,7620.43 ,7654.41 ,7616.09 ,7631.74 
03/30/2023,7564.27 ,7638.49 ,7564.27 ,7620.43 
03/29/2023,7484.25 ,7566.80 ,7484.21 ,7564.27 
03/28/2023,7471.77 ,7524.55 ,7464.61 ,7484.25 
03/27/2023,7405.45 ,7491.74 ,7405.45 ,7471.77 
03/24/2023,7499.60 ,7499.60 ,7335.71 ,7405.45 
03/23/2023,7566.84 ,7566.84 ,7476.13 ,7499.60 
03/22/2023,7536.22 ,7585.57 ,7505.48 ,7566.84 
03/21/2023,7403.85 ,7557.55 ,7403.85 ,7536.22 
03/20/2023,7335.40 ,7426.24 ,7206.82 ,7403.85 
03/17/2023,7410.03 ,7510.47 ,7309.30 ,7335.40 
03/16/2023,7344.45 ,7458.64 ,7331.49 ,7410.03 
03/15/2023,7637.11 ,7637.39 ,7333.35 ,7344.45 
03/14/2023,7548.63 ,7641.55 ,7503.25 ,7637.11 
03/13/2023,7748.35 ,7752.43 ,7546.02 ,7548.63 
03/10/2023,7879.98 ,7879.98 ,7708.32 ,7748.35 
03/09/2023,7929.92 ,7930.26 ,7862.01 ,7879.98 
03/08/2023,7919.48 ,7946.62 ,7891.42 ,7929.92 
03/07/2023,7929.79 ,7959.77 ,7909.77 ,7919.48 
03/06/2023,7947.11 ,7948.67 ,7897.45 ,7929.79 
03/03/2023,7944.04 ,7974.40 ,7920.07 ,7947.11 
03/02/2023,7914.93 ,7945.82 ,7875.03 ,7944.04 
03/01/2023,7876.28 ,7950.69 ,7874.34 ,7914.93 
02/28/2023,7935.11 ,7935.11 ,7854.82 ,7876.28 
02/27/2023,7878.66 ,7949.97 ,7878.66 ,7935.11 
02/24/2023,7907.72 ,7939.17 ,7870.39 ,7878.66 
02/23/2023,7930.63 ,7935.56 ,7888.88 ,7907.72 
02/22/2023,7977.75 ,7977.75 ,7879.03 ,7930.63 
02/21/2023,8014.31 ,8014.40 ,7952.48 ,7977.75 
02/20/2023,8004.36 ,8020.13 ,7995.46 ,8014.31 
02/17/2023,8012.53 ,8012.53 ,7957.69 ,8004.36 
02/16/2023,7997.83 ,8047.06 ,7978.61 ,8012.53 
02/15/2023,7953.85 ,8003.65 ,7921.32 ,7997.83 
02/14/2023,7947.60 ,7996.35 ,7947.60 ,7953.85 
02/13/2023,7882.45 ,7947.60 ,7881.86 ,7947.60 
02/10/2023,7911.15 ,7913.31 ,7850.94 ,7882.45 
02/09/2023,7885.17 ,7949.57 ,7874.23 ,7911.15 
02/08/2023,7864.71 ,7934.30 ,7864.66 ,7885.17 
02/07/2023,7836.71 ,7890.82 ,7835.36 ,7864.71 
02/06/2023,7901.80 ,7901.80 ,7808.39 ,7836.71 
02/03/2023,7820.16 ,7906.58 ,7806.85 ,7901.80 
02/02/2023,7761.11 ,7837.84 ,7758.51 ,7820.16 
02/01/2023,7771.70 ,7798.51 ,7745.43 ,7761.11 
01/31/2023,7784.87 ,7784.87 ,7708.34 ,7771.70 
01/30/2023,7765.15 ,7790.69 ,7718.33 ,7784.87 
01/27/2023,7761.11 ,7777.40 ,7742.12 ,7765.15 
01/26/2023,7744.87 ,7787.57 ,7744.87 ,7761.11 
01/25/2023,7757.36 ,7773.57 ,7710.78 ,7744.87 
01/24/2023,7784.67 ,7800.89 ,7741.75 ,7757.36 
01/23/2023,7770.59 ,7811.17 ,7768.47 ,7784.67 
01/20/2023,7747.29 ,7790.87 ,7747.29 ,7770.59 
01/19/2023,7830.70 ,7830.80 ,7726.23 ,7747.29 
01/18/2023,7851.03 ,7867.43 ,7824.73 ,7830.70 
01/17/2023,7860.07 ,7875.58 ,7830.35 ,7851.03 
01/16/2023,7844.07 ,7867.23 ,7841.91 ,7860.07 
01/13/2023,7794.04 ,7864.95 ,7793.55 ,7844.07 
01/12/2023,7724.98 ,7809.13 ,7724.55 ,7794.04 
01/11/2023,7694.49 ,7772.37 ,7694.35 ,7724.98 
01/10/2023,7724.94 ,7724.94 ,7684.35 ,7694.49 
01/09/2023,7699.49 ,7725.74 ,7688.69 ,7724.94 
01/06/2023,7633.45 ,7700.81 ,7633.45 ,7699.49 
01/05/2023,7585.19 ,7658.79 ,7564.70 ,7633.45 
01/04/2023,7554.09 ,7609.25 ,7545.18 ,7585.19 
01/03/2023,7451.74 ,7626.40 ,7448.69 ,7554.09 
12/30/2022,7512.72 ,7512.92 ,7451.74 ,7451.74 
12/29/2022,7497.19 ,7516.36 ,7434.64 ,7512.72 
12/28/2022,7473.01 ,7547.00 ,7473.01 ,7497.19 
12/27/2022,7473.01 ,7473.01 ,7473.01 ,7473.01 
12/26/2022,7473.01 ,7473.01 ,7473.01 ,7473.01 
12/23/2022,7469.28 ,7496.40 ,7462.80 ,7473.01 
12/22/2022,7497.32 ,7540.31 ,7463.54 ,7469.28 
12/21/2022,7370.62 ,7498.48 ,7368.72 ,7497.32 
12/20/2022,7361.31 ,7389.92 ,7302.82 ,7370.62 
12/19/2022,7332.12 ,7385.38 ,7332.12 ,7361.31 
12/16/2022,7426.17 ,7429.29 ,7305.72 ,7332.12 
12/15/2022,7495.93 ,7495.93 ,7411.07 ,7426.17 
12/14/2022,7502.89 ,7504.49 ,7461.68 ,7495.93 
12/13/2022,7445.97 ,7553.36 ,7428.98 ,7502.89 
12/12/2022,7476.63 ,7476.63 ,7438.87 ,7445.97 
12/09/2022,7472.17 ,7498.04 ,7431.44 ,7476.63 
12/08/2022,7489.19 ,7507.98 ,7469.12 ,7472.17 
12/07/2022,7521.39 ,7567.23 ,7489.19 ,7489.19 
12/06/2022,7567.54 ,7567.64 ,7521.39 ,7521.39 
12/05/2022,7556.23 ,7598.21 ,7547.76 ,7567.54 
12/02/2022,7558.49 ,7570.46 ,7507.98 ,7556.23 
12/01/2022,7573.05 ,7599.70 ,7552.29 ,7558.49 
11/30/2022,7512.00 ,7599.27 ,7512.00 ,7573.05 
11/29/2022,7474.02 ,7543.09 ,7473.99 ,7512.00 
11/28/2022,7486.67 ,7496.80 ,7420.00 ,7474.02 
11/25/2022,7466.60 ,7497.23 ,7461.78 ,7486.67 
11/24/2022,7465.24 ,7488.07 ,7443.46 ,7466.60 
11/23/2022,7452.84 ,7498.34 ,7452.84 ,7465.24 
11/22/2022,7376.85 ,7458.88 ,7373.56 ,7452.84 
11/21/2022,7385.52 ,7402.79 ,7343.37 ,7376.85 
11/18/2022,7346.54 ,7423.51 ,7343.50 ,7385.52 
11/17/2022,7351.19 ,7354.07 ,7294.75 ,7346.54 
11/16/2022,7369.44 ,7394.42 ,7341.59 ,7351.19 
11/15/2022,7385.17 ,7413.01 ,7344.85 ,7369.44 
11/14/2022,7318.04 ,7413.82 ,7317.57 ,7385.17 
11/11/2022,7375.34 ,7408.61 ,7316.84 ,7318.04 
11/10/2022,7296.25 ,7405.09 ,7253.36 ,7375.34 
11/09/2022,7306.14 ,7307.80 ,7263.46 ,7296.25 
11/08/2022,7299.99 ,7313.46 ,7244.83 ,7306.14 
11/07/2022,7334.84 ,7346.66 ,7288.00 ,7299.99 
11/04/2022,7188.63 ,7376.23 ,7188.63 ,7334.84 
11/03/2022,7144.14 ,7188.63 ,7076.47 ,7188.63 
11/02/2022,7186.16 ,7205.07 ,7130.50 ,7144.14 
11/01/2022,7094.53 ,7221.32 ,7094.53 ,7186.16 
10/31/2022,7047.67 ,7132.85 ,7030.12 ,7094.53 
10/28/2022,7073.69 ,7073.69 ,6997.54 ,7047.67 
10/27/2022,7056.07 ,7093.05 ,7034.24 ,7073.69 
10/26/2022,7013.48 ,7057.42 ,6960.11 ,7056.07 
10/25/2022,7013.99 ,7025.22 ,6949.24 ,7013.48 
10/24/2022,6969.73 ,7047.37 ,6914.66 ,7013.99 
10/21/2022,6943.91 ,6976.19 ,6864.13 ,6969.73 
10/20/2022,6924.99 ,6954.21 ,6894.85 ,6943.91 
10/19/2022,6936.74 ,6968.33 ,6890.66 ,6924.99 
10/18/2022,6920.24 ,7017.40 ,6920.24 ,6936.74 
10/17/2022,6858.79 ,6959.71 ,6850.43 ,6920.24 
10/14/2022,6850.27 ,6976.30 ,6850.27 ,6858.79 
10/13/2022,6826.15 ,6872.90 ,6707.62 ,6850.27 
10/12/2022,6885.23 ,6916.94 ,6793.77 ,6826.15 
10/11/2022,6959.31 ,6959.43 ,6860.31 ,6885.23 
10/10/2022,6991.09 ,6999.20 ,6922.94 ,6959.31 
10/07/2022,6997.27 ,7022.41 ,6960.36 ,6991.09 
10/06/2022,7052.62 ,7079.74 ,6961.10 ,6997.27 
10/05/2022,7086.46 ,7086.46 ,6977.95 ,7052.62 
10/04/2022,6908.76 ,7088.17 ,6908.67 ,7086.46 
10/03/2022,6893.81 ,6923.75 ,6797.37 ,6908.76 
09/30/2022,6881.59 ,6954.92 ,6840.07 ,6893.81 
09/29/2022,7005.39 ,7005.39 ,6829.29 ,6881.59 
09/28/2022,6984.59 ,7011.50 ,6836.28 ,7005.39 
09/27/2022,7020.95 ,7073.96 ,6984.59 ,6984.59 
09/26/2022,7018.60 ,7071.11 ,6937.40 ,7020.95 
09/23/2022,7159.52 ,7169.12 ,6981.50 ,7018.60 
09/22/2022,7237.64 ,7243.90 ,7149.59 ,7159.52 
09/21/2022,7192.66 ,7258.87 ,7170.69 ,7237.64 
09/20/2022,7236.68 ,7326.54 ,7171.24 ,7192.66 
09/16/2022,7282.07 ,7297.10 ,7236.17 ,7236.68 
09/15/2022,7277.30 ,7329.00 ,7258.67 ,7282.07 
